slug,name,date,weekday,courts,occ_open_pct,occ_core_pct,occ_prime_pct,open_court_hours,free_court_hours_open,core_court_hours,free_court_hours_core,prime_court_hours,free_court_hours_prime
top-padel-club-budapest,Top Padel Club ,2026-08-24,Monday,4,100.0,100.0,100.0,64.0,0.0,64.0,0.0,20.0,0.0
padel-garden-budapest,Padel Garden Budapest,2026-08-24,Monday,3,100.0,100.0,100.0,46.5,0.0,46.5,0.0,15.0,0.0
future-padel-fot,Future Padel FÃ³t,2026-08-24,Monday,1,100.0,100.0,100.0,16.0,0.0,16.0,0.0,5.0,0.0
musketas-padel,Musketas Padel ,2026-08-24,Monday,2,100.0,100.0,100.0,48.0,0.0,32.0,0.0,10.0,0.0
buda-padel,BUDAPADEL,2026-08-24,Monday,4,95.8,98.4,100.0,96.0,4.0,64.0,1.0,20.0,0.0
premier-padel-park,Premier Padel Park,2026-08-24,Monday,4,98.4,98.4,100.0,64.0,1.0,64.0,1.0,20.0,0.0
premier-padel-nagyret,Premier Padel Nagyret,2026-08-24,Monday,4,98.2,98.2,95.0,56.0,1.0,56.0,1.0,20.0,1.0
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-08-24,Monday,4,96.7,96.7,90.0,60.0,2.0,60.0,2.0,20.0,2.0
flow-padel-ujpest,Flow Padel Ãjpest,2026-08-24,Monday,4,95.0,95.0,85.0,60.0,3.0,60.0,3.0,20.0,3.0
zenith-padel-obuda,Zenith Padel Ãbuda ÃJ!,2026-08-24,Monday,4,90.1,94.5,95.0,76.0,7.5,64.0,3.5,20.0,1.0
new-padel-club,New Padel Club,2026-08-24,Monday,2,93.6,93.8,95.0,47.0,3.0,32.0,2.0,10.0,0.5
panorama-padel-budapest,Panorama Padel Budapest,2026-08-24,Monday,1,94.1,93.8,80.0,17.0,1.0,16.0,1.0,5.0,1.0
grand-slam-padel,Grand Slam Padel,2026-08-24,Monday,3,92.9,92.9,80.0,42.0,3.0,42.0,3.0,15.0,3.0
padel-king-savoya,Padel King Savoya,2026-08-24,Monday,6,92.7,92.7,93.3,96.0,7.0,96.0,7.0,30.0,2.0
zenith-padel-club,Zenith Padel Club,2026-08-24,Monday,3,91.2,90.6,90.0,51.0,4.5,48.0,4.5,15.0,1.5
duna-padel,DUNA PADEL,2026-08-24,Monday,4,89.1,89.1,85.0,64.0,7.0,64.0,7.0,20.0,3.0
budapest-padel,Budapest Padel,2026-08-24,Monday,8,88.8,88.8,86.2,120.0,13.5,120.0,13.5,40.0,5.5
top-padel-club-budapest,Top Padel Club ,2026-08-25,Tuesday,4,100.0,100.0,100.0,64.0,0.0,64.0,0.0,20.0,0.0
musketas-padel,Musketas Padel ,2026-08-25,Tuesday,2,100.0,100.0,100.0,48.0,0.0,32.0,0.0,10.0,0.0
premier-padel-park,Premier Padel Park,2026-08-25,Tuesday,4,74.2,74.2,97.5,64.0,16.5,64.0,16.5,20.0,0.5
duna-padel,DUNA PADEL,2026-08-25,Tuesday,4,56.2,56.2,77.5,64.0,28.0,64.0,28.0,20.0,4.5
buda-padel,BUDAPADEL,2026-08-25,Tuesday,4,37.0,55.5,100.0,96.0,60.5,64.0,28.5,20.0,0.0
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-08-25,Tuesday,4,52.5,52.5,90.0,60.0,28.5,60.0,28.5,20.0,2.0
flow-padel-ujpest,Flow Padel Ãjpest,2026-08-25,Tuesday,4,44.2,44.2,47.5,60.0,33.5,60.0,33.5,20.0,10.5
grand-slam-padel,Grand Slam Padel,2026-08-25,Tuesday,3,44.0,44.0,50.0,42.0,23.5,42.0,23.5,15.0,7.5
new-padel-club,New Padel Club,2026-08-25,Tuesday,2,28.7,42.2,80.0,47.0,33.5,32.0,18.5,10.0,2.0
padel-king-savoya,Padel King Savoya,2026-08-25,Tuesday,6,39.6,39.6,61.7,96.0,58.0,96.0,58.0,30.0,11.5
premier-padel-nagyret,Premier Padel Nagyret,2026-08-25,Tuesday,4,38.4,38.4,52.5,56.0,34.5,56.0,34.5,20.0,9.5
budapest-padel,Budapest Padel,2026-08-25,Tuesday,8,35.0,35.0,70.0,120.0,78.0,120.0,78.0,40.0,12.0
zenith-padel-obuda,Zenith Padel Ãbuda ÃJ!,2026-08-25,Tuesday,4,26.3,31.2,40.0,76.0,56.0,64.0,44.0,20.0,12.0
zenith-padel-club,Zenith Padel Club,2026-08-25,Tuesday,3,29.4,31.2,66.7,51.0,36.0,48.0,33.0,15.0,5.0
padel-garden-budapest,Padel Garden Budapest,2026-08-25,Tuesday,3,28.0,28.0,63.3,46.5,33.5,46.5,33.5,15.0,5.5
future-padel-fot,Future Padel FÃ³t,2026-08-25,Tuesday,1,15.6,15.6,30.0,16.0,13.5,16.0,13.5,5.0,3.5
panorama-padel-budapest,Panorama Padel Budapest,2026-08-25,Tuesday,1,11.8,6.2,0.0,17.0,15.0,16.0,15.0,5.0,5.0
top-padel-club-budapest,Top Padel Club ,2026-08-26,Wednesday,4,100.0,100.0,100.0,64.0,0.0,64.0,0.0,20.0,0.0
musketas-padel,Musketas Padel ,2026-08-26,Wednesday,2,100.0,100.0,100.0,48.0,0.0,32.0,0.0,10.0,0.0
premier-padel-park,Premier Padel Park,2026-08-26,Wednesday,4,80.5,80.5,82.5,64.0,12.5,64.0,12.5,20.0,3.5
grand-slam-padel,Grand Slam Padel,2026-08-26,Wednesday,3,54.8,54.8,70.0,42.0,19.0,42.0,19.0,15.0,4.5
buda-padel,BUDAPADEL,2026-08-26,Wednesday,4,28.6,43.0,92.5,96.0,68.5,64.0,36.5,20.0,1.5
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-08-26,Wednesday,4,40.8,40.8,90.0,60.0,35.5,60.0,35.5,20.0,2.0
budapest-padel,Budapest Padel,2026-08-26,Wednesday,8,37.9,37.9,76.2,120.0,74.5,120.0,74.5,40.0,9.5
flow-padel-ujpest,Flow Padel Ãjpest,2026-08-26,Wednesday,4,35.8,35.8,42.5,60.0,38.5,60.0,38.5,20.0,11.5
padel-garden-budapest,Padel Garden Budapest,2026-08-26,Wednesday,3,35.5,35.5,80.0,46.5,30.0,46.5,30.0,15.0,3.0
premier-padel-nagyret,Premier Padel Nagyret,2026-08-26,Wednesday,4,31.2,31.2,45.0,56.0,38.5,56.0,38.5,20.0,11.0
duna-padel,DUNA PADEL,2026-08-26,Wednesday,4,27.3,27.3,47.5,64.0,46.5,64.0,46.5,20.0,10.5
