slug,name,date,weekday,courts,data_ok,occ_open_pct,occ_core_pct,occ_prime_pct,open_court_hours,free_court_hours_open,core_court_hours,free_court_hours_core,prime_court_hours,free_court_hours_prime
padel-bros-budapest,Padel Bros Budapest,2026-09-19,Saturday,3,True,100.0,100.0,100.0,19.5,0.0,16.5,0.0,13.5,0.0
panorama-padel-budapest,Panorama Padel Budapest,2026-09-19,Saturday,1,True,81.8,81.8,77.8,5.5,1.0,5.5,1.0,4.5,1.0
flow-padel-ujpest,Flow Padel Újpest,2026-09-19,Saturday,4,True,77.8,77.8,77.8,18.0,4.0,18.0,4.0,18.0,4.0
top-padel-club-budapest,Top Padel Club ,2026-09-19,Saturday,7,True,65.1,65.1,65.1,31.5,11.0,31.5,11.0,31.5,11.0
future-padel-fot,Future Padel Fót,2026-09-19,Saturday,1,True,54.5,54.5,44.4,5.5,2.5,5.5,2.5,4.5,2.5
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-09-19,Saturday,4,True,50.0,50.0,50.0,18.0,9.0,18.0,9.0,18.0,9.0
duna-padel,DUNA PADEL,2026-09-19,Saturday,4,True,50.0,50.0,61.1,22.0,11.0,22.0,11.0,18.0,7.0
zenith-padel-obuda,Zenith Padel Óbuda ÚJ!,2026-09-19,Saturday,4,True,40.4,47.7,52.8,26.0,15.5,22.0,11.5,18.0,8.5
premier-padel-park,Premier Padel Park,2026-09-19,Saturday,4,True,40.9,40.9,50.0,22.0,13.0,22.0,13.0,18.0,9.0
grand-slam-padel,Grand Slam Padel,2026-09-19,Saturday,3,True,33.3,33.3,33.3,13.5,9.0,13.5,9.0,13.5,9.0
new-padel-club,New Padel Club,2026-09-19,Saturday,2,True,29.2,31.8,38.9,12.0,8.5,11.0,7.5,9.0,5.5
padel-garden-budapest,Padel Garden Budapest,2026-09-19,Saturday,3,True,26.7,26.7,29.6,15.0,11.0,15.0,11.0,13.5,9.5
premier-padel-nagyret,Premier Padel Nagyret,2026-09-19,Saturday,4,True,25.0,25.0,25.0,18.0,13.5,18.0,13.5,18.0,13.5
zenith-padel-club,Zenith Padel Club,2026-09-19,Saturday,3,True,24.2,24.2,29.6,16.5,12.5,16.5,12.5,13.5,9.5
budapest-padel,Budapest Padel,2026-09-19,Saturday,8,True,20.5,20.5,25.0,44.0,35.0,44.0,35.0,36.0,27.0
padel-king-savoya,Padel King Savoya,2026-09-19,Saturday,6,True,1.5,1.5,1.9,33.0,32.5,33.0,32.5,27.0,26.5
buda-padel,BUDAPADEL,2026-09-19,Saturday,4,True,0.0,0.0,0.0,26.0,26.0,22.0,22.0,18.0,18.0
musketas-padel,Musketas Padel ,2026-09-19,Saturday,2,False,,,,13.0,0.0,11.0,0.0,9.0,0.0
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-09-20,Sunday,4,True,81.0,81.0,60.0,58.0,11.0,58.0,11.0,20.0,8.0
premier-padel-park,Premier Padel Park,2026-09-20,Sunday,4,True,71.1,71.1,65.0,64.0,18.5,64.0,18.5,20.0,7.0
buda-padel,BUDAPADEL,2026-09-20,Sunday,4,True,45.3,68.0,80.0,96.0,52.5,64.0,20.5,20.0,4.0
padel-garden-budapest,Padel Garden Budapest,2026-09-20,Sunday,3,True,42.0,42.0,50.0,40.5,23.5,40.5,23.5,15.0,7.5
premier-padel-nagyret,Premier Padel Nagyret,2026-09-20,Sunday,4,True,40.2,40.2,37.5,56.0,33.5,56.0,33.5,20.0,12.5
future-padel-fot,Future Padel Fót,2026-09-20,Sunday,1,True,37.5,37.5,0.0,16.0,10.0,16.0,10.0,5.0,5.0
flow-padel-ujpest,Flow Padel Újpest,2026-09-20,Sunday,4,True,33.3,33.3,30.0,60.0,40.0,60.0,40.0,20.0,14.0
zenith-padel-club,Zenith Padel Club,2026-09-20,Sunday,3,True,26.5,28.1,26.7,51.0,37.5,48.0,34.5,15.0,11.0
top-padel-club-budapest,Top Padel Club ,2026-09-20,Sunday,7,True,25.5,25.5,18.6,98.0,73.0,98.0,73.0,35.0,28.5
panorama-padel-budapest,Panorama Padel Budapest,2026-09-20,Sunday,1,True,29.4,25.0,40.0,17.0,12.0,16.0,12.0,5.0,3.0
duna-padel,DUNA PADEL,2026-09-20,Sunday,4,True,24.2,24.2,15.0,64.0,48.5,64.0,48.5,20.0,17.0
zenith-padel-obuda,Zenith Padel Óbuda ÚJ!,2026-09-20,Sunday,4,True,20.4,24.2,35.0,76.0,60.5,64.0,48.5,20.0,13.0
padel-king-savoya,Padel King Savoya,2026-09-20,Sunday,6,True,19.8,19.8,16.7,96.0,77.0,96.0,77.0,30.0,25.0
budapest-padel,Budapest Padel,2026-09-20,Sunday,8,True,15.8,15.8,17.5,120.0,101.0,120.0,101.0,40.0,33.0
grand-slam-padel,Grand Slam Padel,2026-09-20,Sunday,3,True,10.3,10.3,0.0,39.0,35.0,39.0,35.0,12.0,12.0
new-padel-club,New Padel Club,2026-09-20,Sunday,2,True,4.3,6.2,10.0,47.0,45.0,32.0,30.0,10.0,9.0
padel-bros-budapest,Padel Bros Budapest,2026-09-20,Sunday,3,True,0.0,0.0,0.0,72.0,72.0,48.0,48.0,15.0,15.0
musketas-padel,Musketas Padel ,2026-09-20,Sunday,2,False,,,,48.0,0.0,32.0,0.0,10.0,0.0
padel-bros-budapest,Padel Bros Budapest,2026-09-21,Monday,3,True,100.0,100.0,100.0,72.0,0.0,48.0,0.0,15.0,0.0
premier-padel-park,Premier Padel Park,2026-09-21,Monday,4,True,70.3,70.3,92.5,64.0,19.0,64.0,19.0,20.0,1.5
bvsc-padel-clubfirst-club-in-pest,BVSC Padel club|First club in Pest!,2026-09-21,Monday,4,True,40.0,40.0,95.0,60.0,36.0,60.0,36.0,20.0,1.0
padel-garden-budapest,Padel Garden Budapest,2026-09-21,Monday,3,True,38.3,38.3,63.3,40.5,25.0,40.5,25.0,15.0,5.5
buda-padel,BUDAPADEL,2026-09-21,Monday,4,True,22.9,34.4,82.5,96.0,74.0,64.0,42.0,20.0,3.5
budapest-padel,Budapest Padel,2026-09-21,Monday,8,True,33.8,33.8,76.2,120.0,79.5,120.0,79.5,40.0,9.5
